Employee_ID,Year_of_Joining,MonthofJoining,DayofJoining,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,2019,7,15,3641,105589,0,Y,Yes,45,1,3,80,1,3,5,3,2,1,2,2
31,2004,4,17,23302,326228,5,Y,No,15,3,2,80,4,18,4,2,10,9,5,2
32,2012,8,17,8138,179036,7,Y,Yes,6,2,1,80,2,10,5,3,2,1,1,2
33,1994,2,12,35730,1071900,0,Y,Yes,3,4,4,80,4,28,3,3,1,1,1,1
34,1996,11,1,42788,1026912,5,Y,Yes,4,3,2,80,3,26,3,2,6,1,5,6
35,2015,4,24,37974,455688,0,Y,No,26,4,1,80,4,7,5,1,2,1,2,1
36,2010,8,1,10478,293384,1,Y,Yes,32,4,4,80,1,12,3,4,12,8,7,7
37,1988,7,20,40937,859677,5,Y,No,48,3,1,80,1,34,2,3,12,4,1,10
38,1999,4,1,39035,234210,6,Y,No,19,2,2,80,3,23,1,4,6,4,3,4
39,1983,6,2,40831,1061606,3,Y,No,3,4,3,80,1,39,2,3,17,14,7,16
40,2013,4,18,2198,19782,1,Y,Yes,23,1,4,80,4,9,1,2,4,2,4,1
41,2019,4,3,4886,29316,7,Y,No,43,4,2,80,3,3,5,2,1,1,1,1
42,1988,4,16,21259,531475,7,Y,No,18,4,3,80,4,34,2,2,7,4,7,4
43,1983,11,5,38523,847506,4,Y,No,22,2,2,80,3,39,6,4,12,3,4,8
44,1992,4,9,14544,407232,8,Y,No,48,4,3,80,2,30,4,3,23,5,1,17
45,2004,1,11,44893,224465,5,Y,No,27,4,1,80,2,18,3,4,17,1,11,15
46,2009,8,7,24444,24444,7,Y,Yes,22,3,3,80,2,13,5,3,13,11,9,12
47,1988,6,20,50248,1406944,7,Y,No,26,3,2,80,3,34,5,1,28,18,20,4
48,1987,3,12,14164,311608,8,Y,Yes,43,4,1,80,1,35,5,3,24,24,4,23
49,2013,5,15,31062,31062,6,Y,Yes,17,4,3,80,1,9,1,1,2,1,2,1
50,2012,10,12,38894,972350,1,Y,No,32,4,3,80,3,10,2,1,8,4,5,2
51,2013,11,25,41349,992376,0,Y,No,43,2,3,80,3,9,1,2,3,1,1,3
52,2008,8,15,8574,51444,6,Y,No,5,2,4,80,3,14,3,1,12,5,2,4
53,1994,1,20,1120,7840,4,Y,Yes,6,2,4,80,1,28,5,3,6,6,2,2
54,2019,10,4,21954,153678,6,Y,No,33,4,1,80,4,3,6,2,2,1,2,1
55,1987,4,2,19402,19402,2,Y,No,27,3,1,80,2,35,5,1,30,7,11,13
56,1991,4,5,14128,141280,7,Y,Yes,45,3,3,80,2,31,5,1,28,9,20,7
57,2013,3,21,37768,604288,8,Y,No,29,1,1,80,2,9,1,1,5,1,5,4
58,2013,4,8,22231,489082,3,Y,No,47,3,1,80,2,9,5,4,4,2,3,1
59,1999,10,23,42815,470965,8,Y,No,45,2,1,80,3,23,5,3,13,1,4,7
60,2006,6,12,36488,729760,3,Y,No,9,3,1,80,1,16,5,2,12,10,4,5
61,2004,9,20,8520,136320,0,Y,Yes,45,3,2,80,1,18,3,1,5,1,1,3
62,1999,4,16,16307,81535,4,Y,Yes,16,2,4,80,2,23,6,1,7,5,1,3
63,1985,8,4,41919,125757,3,Y,No,41,1,4,80,3,37,3,2,8,1,2,1
64,1990,11,21,13590,380520,7,Y,No,8,3,2,80,3,32,5,3,31,12,11,12
65,2021,1,4,18047,342893,3,Y,No,17,2,3,80,2,1,1,2,1,1,1,1
66,1991,3,19,7964,191136,0,Y,No,34,4,1,80,4,31,4,1,6,5,1,6
67,2002,12,16,2564,23076,0,Y,Yes,8,4,1,80,1,20,1,3,3,2,1,1
68,2011,12,11,21114,274482,1,Y,Yes,10,4,4,80,2,11,5,4,4,4,1,4
69,2014,11,26,23025,92100,1,Y,Yes,25,3,2,80,2,8,3,4,4,4,2,1
70,2020,7,16,39899,518687,0,Y,Yes,46,3,1,80,3,2,4,1,1,1,1,1
71,2007,6,25,12210,341880,2,Y,No,16,4,1,80,2,15,6,3,7,2,1,4
72,1992,5,28,40453,364077,1,Y,Yes,45,1,4,80,2,30,6,1,2,1,2,1
73,1982,1,17,9472,161024,6,Y,No,23,2,3,80,1,40,3,2,20,8,8,6
74,2017,12,9,17944,125608,0,Y,Yes,13,3,1,80,3,5,2,3,1,1,1,1
75,1995,12,23,18522,148176,7,Y,Yes,14,1,1,80,3,27,4,2,8,5,4,4
76,1986,12,14,39184,470208,5,Y,Yes,23,3,2,80,1,36,2,4,29,7,13,27
77,2001,1,15,32599,325990,7,Y,No,21,4,1,80,4,21,3,2,4,1,2,1
78,1998,2,19,47785,334495,3,Y,No,32,1,1,80,1,24,1,3,19,6,7,7
79,1998,10,9,50464,1211136,5,Y,Yes,36,2,1,80,1,24,5,4,14,14,13,12
80,1998,12,1,14031,364806,1,Y,No,18,2,4,80,4,24,6,2,7,5,1,4
81,2006,9,8,19147,248911,2,Y,Yes,23,4,1,80,1,16,2,4,12,6,5,1
82,2012,2,18,34178,649382,2,Y,No,27,3,4,80,1,10,3,4,10,3,8,5
83,2000,1,19,1893,3786,4,Y,No,22,3,2,80,1,22,3,2,18,17,6,6
84,2008,4,24,46339,1019458,7,Y,Yes,6,3,2,80,2,14,3,2,10,9,3,9
85,1994,8,27,32237,838162,1,Y,No,29,3,4,80,4,28,2,4,20,20,12,7
86,1987,12,1,42673,1152171,8,Y,No,43,3,1,80,4,35,1,4,23,21,5,5
87,2001,1,26,27653,829590,0,Y,Yes,1,1,4,80,4,21,5,3,9,3,8,9
88,2010,10,24,20041,541107,2,Y,Yes,22,3,4,80,4,12,2,2,1,1,1,1
89,1987,7,1,48708,925452,2,Y,No,0,3,4,80,4,35,5,4,12,9,7,11
90,2012,7,19,23829,333606,6,Y,Yes,15,3,4,80,2,10,2,1,1,1,1,1
91,1988,10,13,2166,17328,7,Y,Yes,39,1,3,80,3,34,6,3,28,24,2,25
92,2013,2,21,2125,21250,6,Y,Yes,30,1,2,80,1,9,1,1,9,3,8,1
93,2016,2,5,48966,930354,8,Y,Yes,36,4,2,80,3,6,6,2,3,3,2,2
94,2006,4,19,49932,599184,1,Y,Yes,35,1,2,80,3,16,3,4,6,2,4,4
95,2020,10,21,40530,243180,1,Y,No,47,2,1,80,2,2,3,4,1,1,1,1
96,2021,6,8,35606,356060,3,Y,Yes,2,3,3,80,4,1,1,4,1,1,1,1
97,1984,11,9,19322,231864,5,Y,No,17,1,1,80,2,38,6,2,11,11,11,6
98,1983,11,5,14216,241672,2,Y,Yes,42,3,4,80,4,39,5,1,22,22,11,15
99,2020,8,27,32109,545853,0,Y,Yes,0,1,4,80,2,2,6,3,1,1,1,1
100,2013,11,16,44994,584922,8,Y,Yes,11,2,3,80,4,9,4,3,8,4,6,8
101,1987,2,22,16843,67372,3,Y,Yes,2,3,2,80,2,35,6,3,35,14,12,28
102,2015,11,23,42582,1064550,2,Y,No,21,1,3,80,1,7,3,4,4,3,3,1
103,1998,3,22,36629,36629,2,Y,No,25,3,2,80,4,24,2,3,16,12,16,3
104,1988,8,15,4258,4258,2,Y,No,36,4,4,80,1,34,3,2,21,12,19,5
105,2000,1,26,46688,326816,0,Y,No,47,3,2,80,1,22,4,2,21,11,9,17
106,2002,8,8,17815,374115,3,Y,Yes,16,4,2,80,3,20,2,1,6,1,1,6
107,1985,12,12,42771,513252,5,Y,Yes,41,1,2,80,3,37,6,3,12,6,11,5
108,1999,9,3,17303,484484,3,Y,Yes,30,4,1,80,3,23,4,3,23,13,18,6
109,2019,10,4,1957,48925,2,Y,No,30,2,2,80,3,3,3,3,3,1,3,2
110,2015,10,16,16303,489090,5,Y,Yes,2,2,1,80,3,7,6,2,5,3,3,3
111,1995,12,1,39266,706788,7,Y,No,23,4,1,80,4,27,1,1,26,4,11,12
112,2018,11,6,10932,142116,3,Y,Yes,3,3,3,80,1,4,6,2,3,2,3,3
113,2002,7,12,16034,288612,8,Y,No,42,2,3,80,1,20,6,1,17,5,4,6
114,2000,2,22,7258,217740,7,Y,Yes,22,4,1,80,3,22,6,4,21,14,21,10
115,1982,2,9,48485,630305,7,Y,No,20,4,2,80,2,40,4,4,10,8,1,8
116,1995,11,14,40318,161272,5,Y,Yes,10,3,4,80,2,27,5,4,11,6,9,11
117,1998,7,2,27428,740556,7,Y,Yes,42,4,2,80,2,24,2,4,8,4,2,1
118,1989,6,18,14430,331890,7,Y,Yes,38,3,3,80,2,33,1,2,9,2,8,6
119,2015,7,7,22537,676110,0,Y,No,42,4,2,80,4,7,5,4,6,4,3,2
120,2021,7,1,6972,188244,7,Y,Yes,11,2,4,80,2,1,3,3,1,1,1,1
121,1983,7,6,7122,35610,6,Y,No,15,2,1,80,2,39,3,4,37,31,20,37
122,2019,10,25,40332,645312,2,Y,No,41,1,2,80,2,3,4,4,3,2,1,2
123,2019,3,10,1861,55830,3,Y,Yes,2,1,3,80,3,3,2,3,2,2,1,2
124,2005,4,28,39210,1137090,2,Y,Yes,38,4,3,80,4,17,3,3,9,4,1,5
125,2008,5,18,48408,677712,0,Y,Yes,6,4,4,80,2,14,1,4,4,2,3,2
126,2003,9,17,2954,62034,7,Y,No,24,4,4,80,2,19,2,3,18,18,10,15
127,2016,4,19,36320,762720,7,Y,Yes,24,2,3,80,1,6,6,3,2,1,1,2
128,2017,9,2,35126,386386,2,Y,Yes,24,1,3,80,4,5,6,3,5,4,4,4
129,2018,12,7,19243,269402,0,Y,No,7,2,3,80,2,4,4,2,2,1,1,1
130,1992,4,27,34982,734622,6,Y,No,25,1,1,80,1,30,4,2,29,24,23,9
131,1996,7,23,18794,375880,8,Y,Yes,22,1,1,80,4,26,5,4,18,6,16,5
132,1988,6,25,18056,379176,1,Y,No,46,2,4,80,1,34,4,2,31,28,3,14
133,1982,8,14,27080,297880,0,Y,No,9,2,1,80,4,40,3,4,14,1,6,9
134,1984,2,2,45522,637308,0,Y,No,17,4,3,80,1,38,4,4,10,6,3,6
135,2020,12,8,31275,156375,3,Y,No,22,4,1,80,1,2,2,1,1,1,1,1
136,1992,3,19,4549,113725,4,Y,Yes,33,4,2,80,3,30,5,3,2,1,2,1
137,2009,8,1,46220,600860,0,Y,No,18,1,4,80,4,13,3,4,9,6,4,3
138,2006,9,2,44310,1063440,8,Y,Yes,26,1,2,80,3,16,6,4,4,3,3,3
139,1998,4,22,3459,65721,3,Y,Yes,18,2,3,80,3,24,2,4,5,3,2,3
140,2003,7,23,34838,383218,6,Y,Yes,30,3,2,80,3,19,4,4,15,14,9,12
141,2013,9,3,7656,99528,6,Y,No,31,2,3,80,3,9,6,4,2,1,2,2
142,1982,3,23,28438,312818,1,Y,Yes,5,1,2,80,1,40,2,1,22,4,6,7
143,2007,1,11,33841,304569,5,Y,Yes,27,2,4,80,3,15,5,3,5,2,4,2
144,1999,11,14,15804,363492,4,Y,No,33,1,2,80,2,23,2,4,17,4,4,5
145,2019,5,16,1409,28180,0,Y,Yes,29,1,3,80,1,3,2,3,2,2,1,1
146,1997,4,27,31570,536690,1,Y,Yes,18,1,3,80,1,25,3,2,6,5,1,4
147,2004,9,4,23311,256421,7,Y,No,6,1,2,80,2,18,1,4,7,3,3,2
148,2021,11,25,26448,185136,4,Y,Yes,28,1,2,80,1,1,1,1,1,1,1,1
149,2004,5,13,41382,41382,3,Y,Yes,25,1,1,80,2,18,4,1,10,9,10,4
150,1986,2,1,35662,962874,0,Y,Yes,40,3,4,80,3,36,6,2,16,10,16,5
151,2013,8,2,21242,637260,1,Y,No,43,1,1,80,3,9,1,4,4,1,2,2
152,2016,1,18,35858,645444,3,Y,Yes,49,2,4,80,3,6,5,1,2,1,1,2
153,2018,3,24,42695,384255,4,Y,No,30,2,1,80,4,4,2,3,2,1,1,1
154,2015,1,26,45177,768009,1,Y,No,22,3,2,80,4,7,2,4,1,1,1,1
155,2018,6,20,34088,68176,3,Y,Yes,49,1,3,80,2,4,4,3,3,1,3,2
156,1993,5,24,33680,370480,7,Y,No,45,4,1,80,1,29,6,3,24,24,16,16
157,2014,6,10,11535,253770,0,Y,No,35,2,2,80,2,8,3,2,2,1,2,1
158,1990,8,23,23810,119050,1,Y,Yes,9,1,1,80,3,32,5,1,9,4,5,9
159,1999,9,6,46478,836604,5,Y,Yes,16,4,1,80,1,23,4,4,8,8,3,1
160,2010,8,16,23085,230850,5,Y,No,9,1,2,80,2,12,5,3,12,5,5,7
161,2021,12,18,47495,142485,1,Y,No,42,2,3,80,1,1,1,1,1,1,1,1
162,2001,11,25,43701,1048824,4,Y,Yes,32,2,1,80,4,21,4,2,2,1,2,1
163,2016,7,1,4808,4808,2,Y,Yes,38,3,1,80,2,6,2,2,6,6,1,2
164,1988,9,12,26237,78711,2,Y,No,26,4,4,80,4,34,4,4,33,6,28,17
165,1997,12,14,8422,151596,8,Y,Yes,25,4,4,80,4,25,4,1,2,1,2,1
166,2009,6,5,47155,565860,0,Y,No,6,1,4,80,4,13,2,4,9,2,9,2
167,1982,5,24,13335,120015,7,Y,Yes,0,4,4,80,3,40,5,3,32,29,26,27
168,1995,7,23,2265,2265,6,Y,Yes,21,2,3,80,2,27,2,2,6,3,3,3
169,1985,1,6,37757,377570,1,Y,Yes,41,4,2,80,2,37,6,1,26,13,14,25
170,2009,10,7,20865,104325,8,Y,Yes,41,2,4,80,1,13,5,1,9,6,3,9
171,2003,9,27,42772,470492,8,Y,No,15,3,2,80,2,19,1,3,14,7,3,9
172,2008,8,10,27728,415920,1,Y,Yes,33,3,3,80,2,14,6,1,7,2,5,4
173,2020,5,9,4382,105168,0,Y,Yes,7,1,4,80,3,2,4,2,2,2,1,1
174,2019,8,26,32625,456750,6,Y,No,14,2,2,80,4,3,1,2,3,2,1,1
175,2018,8,26,1379,37233,8,Y,No,41,3,3,80,4,4,5,3,4,3,2,1
176,2011,9,9,39585,237510,4,Y,Yes,45,2,1,80,2,11,3,3,5,4,4,4
177,1992,3,28,4961,138908,8,Y,No,39,3,2,80,1,30,4,2,2,1,1,1
178,1983,9,10,30553,824931,3,Y,No,12,4,2,80,1,39,3,3,22,9,22,21
179,1993,1,23,18560,167040,0,Y,No,46,2,4,80,1,29,3,3,27,11,10,17
180,2016,9,9,40666,1097982,7,Y,Yes,21,2,4,80,2,6,3,4,1,1,1,1
181,2007,2,13,28786,28786,6,Y,No,7,3,1,80,1,15,6,2,14,7,9,9
182,2019,12,15,4806,62478,4,Y,Yes,23,4,1,80,4,3,5,3,1,1,1,1
183,1984,5,22,40955,40955,4,Y,No,46,3,3,80,1,38,4,3,12,6,8,4
184,1985,3,23,17637,194007,8,Y,No,21,3,4,80,4,37,2,3,13,10,13,7
185,1989,10,12,35117,280936,8,Y,Yes,1,2,1,80,2,33,4,2,17,3,8,11
186,2021,11,23,11803,59015,6,Y,Yes,7,2,4,80,4,1,1,4,1,1,1,1
187,1990,2,22,41034,1066884,2,Y,Yes,49,2,2,80,4,32,2,4,19,18,12,14
188,1989,11,4,21473,279149,4,Y,Yes,10,3,4,80,1,33,1,2,10,9,3,5
189,1992,2,16,43033,215165,8,Y,No,1,4,1,80,2,30,1,4,24,24,4,3
190,2009,10,19,10938,306264,8,Y,No,11,3,1,80,4,13,6,4,7,6,6,6
191,1995,9,18,38191,954775,5,Y,Yes,13,2,2,80,4,27,3,2,19,2,4,8
192,1991,10,16,10422,187596,3,Y,No,44,2,3,80,4,31,1,4,18,2,12,7
193,2008,8,4,33768,540288,1,Y,No,26,3,4,80,3,14,4,4,8,3,1,8
194,1991,8,26,13808,207120,6,Y,Yes,12,3,2,80,2,31,3,2,17,8,14,9
195,2006,6,19,32338,161690,4,Y,No,18,3,4,80,4,16,5,2,9,2,1,2
196,1982,3,9,5476,82140,5,Y,Yes,11,1,1,80,2,40,3,1,17,1,11,3
197,1987,10,27,15558,248928,0,Y,Yes,31,4,2,80,3,35,1,3,26,12,11,3
198,2011,9,3,45920,1056160,0,Y,No,14,3,4,80,4,11,3,3,9,2,4,8
199,1988,5,24,49998,649974,4,Y,Yes,0,3,2,80,3,34,6,4,10,9,8,8
200,1989,11,17,8343,250290,8,Y,Yes,36,3,3,80,2,33,2,4,2,1,1,2
201,1985,12,22,50986,254930,6,Y,No,22,2,3,80,4,37,4,3,3,1,1,3
202,1993,5,3,20919,230109,7,Y,No,9,2,1,80,2,29,4,2,8,7,6,5
203,2004,8,12,2898,8694,5,Y,No,47,4,2,80,3,18,6,3,13,11,4,10
204,1987,9,21,31908,191448,0,Y,Yes,1,4,4,80,1,35,3,4,21,2,9,10
205,1997,10,24,46824,936480,1,Y,No,35,1,1,80,4,25,2,2,18,9,16,7
206,2010,9,1,27304,327648,1,Y,Yes,3,2,1,80,2,12,5,4,6,3,5,3
207,2015,9,24,9065,81585,0,Y,Yes,6,1,2,80,3,7,6,2,6,1,6,6
208,2008,4,6,43212,129636,4,Y,No,24,2,3,80,3,14,3,3,9,5,3,3
209,2018,10,16,6377,108409,8,Y,Yes,25,4,1,80,1,4,2,3,1,1,1,1
210,2021,9,6,27644,469948,6,Y,Yes,2,1,4,80,3,1,3,4,1,1,1,1
211,1996,1,27,26418,607614,8,Y,Yes,7,3,3,80,4,26,6,4,19,9,18,15
212,1992,6,19,18910,567300,2,Y,No,1,4,3,80,3,30,4,2,29,27,10,21
213,2003,6,11,44326,797868,5,Y,No,19,3,4,80,1,19,1,3,19,16,17,13
214,2010,11,14,20301,263913,7,Y,Yes,11,1,4,80,2,12,5,1,1,1,1,1
215,1992,3,1,48864,1465920,2,Y,Yes,43,4,3,80,3,30,1,2,28,13,13,25
216,2001,5,18,13247,225199,5,Y,Yes,14,4,4,80,4,21,4,2,11,8,4,6
217,1992,7,3,14075,126675,4,Y,Yes,30,1,3,80,3,30,3,3,16,3,15,8
218,2019,11,1,13645,354770,0,Y,No,45,4,1,80,1,3,3,1,2,2,2,1
219,1982,6,24,14887,401949,6,Y,Yes,18,3,1,80,2,40,3,1,17,2,5,5
220,2004,12,9,38526,38526,0,Y,Yes,46,3,3,80,1,18,6,2,7,5,4,1
221,2017,10,13,47591,618683,4,Y,Yes,36,3,3,80,3,5,3,2,3,3,3,1
222,2021,2,10,12776,12776,7,Y,No,5,3,1,80,3,1,4,3,1,1,1,1
223,1991,10,28,28647,372411,7,Y,Yes,8,1,3,80,1,31,4,4,21,2,5,3
224,1990,6,12,8073,121095,3,Y,Yes,14,3,3,80,4,32,6,2,20,4,12,16
225,1997,1,24,7748,216944,4,Y,Yes,15,4,3,80,2,25,4,4,17,11,10,2
226,1982,1,10,18742,187420,7,Y,Yes,13,4,1,80,1,40,4,2,1,1,1,1
227,2013,7,25,43572,697152,2,Y,No,27,1,3,80,4,9,5,4,3,3,2,3
228,1983,12,28,41709,917598,6,Y,Yes,12,4,4,80,3,39,1,2,27,6,4,14
229,1988,10,21,3175,85725,1,Y,Yes,6,2,4,80,4,34,5,1,29,2,24,3
230,1991,2,2,40253,805060,7,Y,Yes,12,4,3,80,2,31,1,3,28,4,19,11
231,1985,12,13,8450,126750,5,Y,No,16,3,4,80,1,37,5,2,4,3,1,1
232,2004,9,19,33719,33719,1,Y,No,15,2,2,80,4,18,1,4,9,3,8,1
233,1984,3,24,15595,93570,8,Y,No,14,2,3,80,3,38,3,3,30,16,18,12
234,2020,10,13,17909,537270,4,Y,No,28,4,3,80,1,2,4,3,2,1,2,2
235,2008,5,24,26024,234216,1,Y,No,33,2,2,80,4,14,2,2,12,5,8,8
236,1990,8,13,33318,333180,0,Y,Yes,45,4,2,80,4,32,1,4,15,6,12,10
237,2020,4,5,39669,952056,7,Y,Yes,45,2,3,80,2,2,3,3,2,1,1,1
238,1993,12,8,10910,76370,0,Y,Yes,45,1,1,80,3,29,1,2,24,7,5,9
239,1986,7,25,24087,385392,8,Y,No,17,1,3,80,2,36,2,3,21,3,16,7
240,2018,4,21,37622,902928,1,Y,No,7,3,1,80,3,4,5,4,2,2,1,2
241,1992,10,5,35344,812912,3,Y,Yes,43,3,2,80,4,30,2,4,4,3,1,4
242,2012,8,26,46280,323960,4,Y,No,38,4,1,80,2,10,1,2,10,9,8,1
243,2018,7,17,39074,195370,2,Y,No,7,3,3,80,2,4,2,2,3,1,1,2
244,2001,2,21,47117,471170,1,Y,Yes,28,3,1,80,2,21,4,1,6,5,1,2
245,1988,12,14,42691,554983,7,Y,Yes,39,2,4,80,1,34,5,4,9,3,6,1
246,2000,3,25,30583,886907,5,Y,No,26,1,1,80,4,22,6,2,19,13,5,6
247,1985,11,7,12156,328212,4,Y,No,25,4,2,80,2,37,4,2,18,5,8,15
248,2014,6,23,33625,538000,1,Y,Yes,12,4,2,80,2,8,6,2,6,2,2,1
249,2003,12,4,9256,166608,4,Y,Yes,24,2,4,80,1,19,2,2,9,3,8,8
250,1989,11,24,24142,217278,4,Y,No,34,3,1,80,4,33,6,2,26,13,21,22
251,2000,2,14,47834,956680,2,Y,Yes,24,1,1,80,1,22,6,1,19,4,16,2
252,2008,4,13,20777,581756,7,Y,Yes,12,3,3,80,2,14,3,1,6,3,1,3
253,2006,11,25,29895,269055,4,Y,No,17,3,2,80,1,16,2,2,2,1,2,2
254,1987,7,11,27761,527459,6,Y,No,14,2,1,80,4,35,2,2,5,2,1,4
255,2012,6,1,35033,315297,4,Y,No,44,3,3,80,3,10,5,4,6,1,6,4
256,2000,7,3,26977,296747,7,Y,Yes,6,1,1,80,4,22,6,4,2,2,1,1
257,2002,5,20,49123,785968,4,Y,Yes,13,3,2,80,2,20,6,3,12,6,5,11
258,1997,7,11,31940,894320,7,Y,No,33,1,4,80,1,25,5,3,5,5,3,5
259,2002,4,15,30697,552546,2,Y,Yes,34,4,1,80,1,20,5,1,18,11,16,3
260,2002,11,3,20875,396625,0,Y,Yes,42,1,1,80,4,20,3,4,3,2,3,2
261,1998,10,7,25961,311532,0,Y,Yes,29,1,3,80,2,24,2,1,23,10,15,18
262,1991,9,27,28593,114372,8,Y,Yes,25,2,3,80,4,31,4,4,4,3,2,2
263,1999,11,24,5879,82306,2,Y,Yes,38,3,2,80,3,23,1,3,12,3,4,8
264,1993,1,27,39333,589995,2,Y,No,42,2,2,80,3,29,2,3,11,7,1,8
265,2000,3,15,11270,202860,2,Y,Yes,23,4,1,80,1,22,4,3,20,9,1,10
266,1990,9,7,35273,705460,4,Y,Yes,49,2,2,80,4,32,5,1,18,4,14,11
267,1982,6,18,4339,60746,1,Y,Yes,38,4,2,80,4,40,4,3,39,29,12,15
268,1989,5,21,17895,393690,4,Y,Yes,25,4,4,80,2,33,4,1,17,15,5,4
269,2004,9,24,37604,940100,7,Y,Yes,18,1,4,80,4,18,1,4,3,1,3,2
270,2012,10,6,31883,95649,1,Y,No,14,4,1,80,3,10,2,2,9,5,1,9
271,1995,6,27,13634,218144,7,Y,No,13,1,4,80,1,27,5,3,11,9,7,8
272,1995,9,6,33754,675080,6,Y,No,29,4,2,80,2,27,5,2,7,6,4,6
273,2012,2,3,21549,517176,6,Y,Yes,47,1,3,80,3,10,5,3,9,6,5,9
274,2016,3,5,9899,128687,8,Y,No,17,1,4,80,2,6,1,2,2,2,2,1
275,1986,7,28,48715,1461450,5,Y,No,12,4,2,80,4,36,5,2,6,2,2,1
276,2013,6,11,11225,258175,0,Y,Yes,12,1,3,80,3,9,6,3,5,4,3,3
277,2000,10,15,28569,228552,3,Y,No,48,1,1,80,4,22,3,3,7,2,5,4
278,1990,10,24,34090,204540,6,Y,No,43,1,4,80,2,32,2,4,25,18,9,5
279,1987,8,20,48019,960380,2,Y,No,36,4,4,80,3,35,2,2,11,1,1,5
280,2015,1,18,39709,714762,5,Y,No,3,4,1,80,4,7,5,1,6,5,2,5
281,1998,11,12,50347,654511,2,Y,No,36,2,2,80,1,24,1,2,7,4,3,7
282,1994,11,18,16732,50196,1,Y,No,22,4,2,80,2,28,2,1,11,1,11,8
283,2010,7,2,32063,545071,5,Y,No,34,2,1,80,2,12,2,2,8,8,2,1
284,2014,5,19,4163,124890,2,Y,No,21,3,2,80,2,8,1,1,7,5,5,5
285,1995,4,25,44633,624862,7,Y,No,26,2,2,80,3,27,3,4,24,18,3,22
286,1988,7,12,4330,99590,0,Y,Yes,11,4,3,80,2,34,5,2,31,11,31,6
287,2006,4,21,24537,318981,4,Y,Yes,12,3,1,80,1,16,2,3,11,5,9,3
288,2011,10,27,28071,449136,5,Y,Yes,5,1,2,80,4,11,1,4,9,5,3,5
289,2000,10,22,37581,601296,3,Y,No,25,1,1,80,2,22,1,1,7,5,6,4
